,Date,Volume,Turnover,Open,High,Low,Close
8,107/06/13,"36,081,120","8,311,856,296",229.00,232.00,228.00,232.00
9,107/06/14,"36,932,041","8,423,126,398",230.00,230.00,226.50,226.50
10,107/06/15,"49,506,679","11,291,127,719",225.00,231.00,224.00,231.00
11,107/06/19,"61,142,624","13,754,800,554",225.50,226.00,224.00,225.00
12,107/06/20,"40,708,701","9,175,159,127",224.50,227.50,223.50,226.00
13,107/06/21,"32,572,707","7,379,769,339",227.50,228.00,226.00,226.50
14,107/06/22,"44,211,409","9,994,644,852",224.50,227.50,224.00,227.50
15,107/06/25,"49,058,211","10,749,795,782",220.00,220.50,218.00,218.00
16,107/06/26,"43,080,346","9,242,648,746",215.50,216.00,212.50,214.50
17,107/06/27,"40,863,414","8,742,004,301",216.00,216.00,212.50,213.00
18,107/06/28,"38,816,780","8,231,075,920",211.00,214.50,210.00,212.00
19,107/06/29,"36,848,680","7,919,779,720",212.00,217.00,212.00,216.50
0,107/07/02,"33,496,442","7,257,081,470",218.50,219.00,214.00,214.00
1,107/07/03,"28,663,220","6,173,115,899",215.50,218.00,213.50,214.50
2,107/07/04,"15,359,295","3,324,927,032",217.00,217.50,215.50,216.00
3,107/07/05,"18,225,416","3,904,832,940",214.00,215.00,213.00,214.50
4,107/07/06,"31,344,962","6,779,063,394",217.50,217.50,215.00,217.00
5,107/07/09,"41,165,793","9,100,880,393",219.50,223.00,218.50,221.50
6,107/07/10,"20,196,957","4,498,264,914",223.00,224.00,222.00,222.00
7,107/07/11,"19,854,690","4,355,547,100",220.00,220.00,218.00,220.00
8,107/07/12,"23,806,051","5,246,628,771",218.00,222.00,218.00,220.50
9,107/07/13,"30,419,311","6,799,894,334",222.50,224.50,222.50,224.50
10,107/07/16,"16,107,254","3,612,296,896",224.50,225.00,223.50,223.50
11,107/07/17,"22,554,436","5,003,028,272",222.50,223.50,221.00,221.50
12,107/07/18,"45,802,658","10,221,407,834",223.00,224.00,222.00,223.00
13,107/07/19,"43,976,216","9,930,715,930",225.50,227.00,224.50,224.50
14,107/07/20,"103,652,023","24,367,904,428",235.00,237.50,233.00,237.50
15,107/07/23,"52,269,877","12,621,500,480",239.00,245.00,238.50,241.00
16,107/07/24,"27,468,267","6,599,675,515",240.00,241.50,238.50,241.00
17,107/07/25,"21,530,312","5,173,924,310",239.00,241.00,239.00,240.50
18,107/07/26,"30,856,388","7,435,261,120",241.00,242.50,239.50,241.00
19,107/07/27,"27,129,646","6,605,479,210",242.00,244.50,241.00,244.50
20,107/07/30,"22,803,730","5,585,710,909",244.50,245.50,244.00,245.50
21,107/07/31,"28,202,542","6,912,550,610",243.50,246.00,242.00,246.00
0,107/08/01,"29,777,161","7,375,488,342",247.00,248.00,246.50,248.00
